team | advanceKO | reachR16 | reachQF | reachSF | reachF | champion | modal_exit
Spain | 98.9 | 79.1 | 62.2 | 51.8 | 38.9 | 26.8 | CHAMPION
Argentina | 98.8 | 71.4 | 59.3 | 42.7 | 29.8 | 17.8 | R32
France | 98.4 | 80.4 | 59.9 | 43.6 | 24.9 | 14.6 | R16
England | 99.0 | 72.4 | 47.3 | 29.3 | 14.9 | 7.1 | R32
Portugal | 97.2 | 73.6 | 50.5 | 29.1 | 18.0 | 9.3 | R32
Brazil | 98.3 | 64.8 | 37.7 | 20.1 | 8.5 | 3.6 | R32
Germany | 98.9 | 63.5 | 28.9 | 15.5 | 5.8 | 2.1 | R32
Netherlands | 91.1 | 55.5 | 34.5 | 16.8 | 6.7 | 2.6 | R32
Colombia | 94.1 | 51.1 | 23.3 | 10.4 | 4.4 | 1.5 | R32
Norway | 89.5 | 55.1 | 29.5 | 14.0 | 5.2 | 1.7 | R32
Croatia | 95.5 | 53.0 | 24.0 | 12.2 | 5.0 | 1.8 | R32
Uruguay | 88.1 | 34.9 | 18.5 | 8.6 | 3.4 | 1.0 | R32
Mexico | 91.5 | 59.4 | 28.2 | 11.3 | 3.7 | 1.2 | R32
United States | 82.2 | 39.9 | 13.1 | 2.7 | 0.6 | 0.1 | R32
Japan | 76.0 | 39.6 | 20.4 | 8.7 | 2.9 | 1.0 | R32
Ecuador | 87.7 | 50.4 | 26.1 | 12.7 | 5.1 | 1.9 | R32
