date,match,home,away,pred,actual,pts,ev,p_outcome_real,p_score_real,brier,code
2026-06-12,1,Mexico,South Africa,2-1,2-0,1,1.0243,0.672,0.1409,0.1655,S
2026-06-12,2,South Korea,Czechia,1-1,2-1,0,0.7428,0.361,0.071,0.6128,P?
2026-06-13,3,Canada,Bosnia and Herzegovina,2-1,1-1,0,0.8678,0.25,0.1187,0.8885,P?
2026-06-13,4,United States,Paraguay,2-1,4-1,1,0.8067,0.472,0.0131,0.4184,S
2026-06-13,8,Qatar,Switzerland,1-2,1-1,0,1.0566,0.1735,0.0824,1.2197,L?
2026-06-14,7,Brazil,Morocco,2-1,1-1,0,0.9375,0.2333,0.1105,0.9647,L?
2026-06-14,5,Haiti,Scotland,1-2,0-1,2,0.9863,0.6418,0.1157,0.1939,P?
2026-06-14,6,Australia,Turkey,1-2,2-0,0,0.8739,0.207,0.0337,0.9762,L?
2026-06-14,10,Germany,Curaçao,3-0,7-1,1,1.3197,0.9235,0.0043,0.0097,S
2026-06-14,11,Netherlands,Japan,2-1,2-2,0,0.7885,0.2577,0.0506,0.8438,P?
2026-06-15,9,Ivory Coast,Ecuador,1-2,1-0,0,0.7476,0.2699,0.115,0.8071,P?
2026-06-15,12,Sweden,Tunisia,2-1,5-1,1,0.824,0.4847,0.0035,0.3992,S
2026-06-15,10,Germany,Curaçao,3-0,7-1,1,1.3197,0.923,0.0043,0.0097,S
2026-06-15,11,Netherlands,Japan,2-1,2-2,0,0.7885,0.258,0.0506,0.8438,P?
2026-06-15,9,Ivory Coast,Ecuador,1-2,1-0,0,0.7476,0.27,0.115,0.8071,P?
2026-06-15,12,Sweden,Tunisia,2-1,5-1,1,0.824,0.485,0.0035,0.3992,S
2026-06-15,14,Spain,Cape Verde,3-0,0-0,0,1.183,0.1024,0.0334,1.5378,L?
2026-06-15,16,Belgium,Egypt,2-1,1-1,0,0.9332,0.229,0.1089,0.9721,L?
2026-06-16,13,Saudi Arabia,Uruguay,1-2,1-1,0,0.968,0.2308,0.1077,0.9915,L?
2026-06-16,15,Iran,New Zealand,2-1,2-2,0,0.857,0.2675,0.0381,0.8473,P?
2026-06-16,14,Spain,Cape Verde,3-0,0-0,0,1.183,0.102,0.0334,1.5378,L?
2026-06-16,16,Belgium,Egypt,2-1,1-1,0,0.9332,0.229,0.1089,0.9721,L?
2026-06-16,13,Saudi Arabia,Uruguay,1-2,1-1,0,0.968,0.231,0.1077,0.9915,L?
2026-06-16,15,Iran,New Zealand,2-1,2-2,0,0.857,0.268,0.0381,0.8473,P?
2026-06-16,17,France,Senegal,2-1,3-1,1,0.9486,0.5901,0.0479,0.2557,S
2026-06-17,18,Iraq,Norway,1-3,1-4,1,1.075,0.7796,0.0492,0.0746,S
2026-06-17,19,Argentina,Algeria,2-1,3-0,1,0.991,0.6295,0.0789,0.2116,S
2026-06-17,20,Austria,Jordan,2-1,3-1,1,1.0266,0.6793,0.0627,0.1573,S
2026-06-17,20,Austria,Jordan,2-1,3-1,1,1.0266,0.679,0.0627,0.1573,S
2026-06-17,17,France,Senegal,2-1,3-1,1,0.9486,0.59,0.0479,0.2557,S
2026-06-17,18,Iraq,Norway,1-3,1-4,1,1.075,0.78,0.0492,0.0746,S
2026-06-17,19,Argentina,Algeria,2-1,3-0,1,0.991,0.629,0.0789,0.2116,S
2026-06-18,21,Ghana,Panama,2-1,1-0,2,0.8061,0.4748,0.1251,0.4138,P?
2026-06-18,22,England,Croatia,2-1,4-2,1,0.9005,0.5508,0.0085,0.3039,S
2026-06-18,23,Portugal,Congo DR,2-1,1-1,0,1.0516,0.1785,0.0847,1.1996,L?
2026-06-18,24,Uzbekistan,Colombia,1-2,1-3,1,1.019,0.6692,0.0611,0.1673,S
2026-06-18,23,Portugal,Congo DR,2-1,1-1,0,1.0516,0.178,0.0847,1.1996,L?
2026-06-18,22,England,Croatia,2-1,4-2,1,0.9005,0.551,0.0085,0.3039,S
2026-06-18,21,Ghana,Panama,2-1,1-0,2,0.8061,0.475,0.1251,0.4138,P?
2026-06-18,24,Uzbekistan,Colombia,1-2,1-3,1,1.019,0.669,0.0611,0.1673,S
2026-06-18,25,Czechia,South Africa,2-1,1-1,0,0.7895,0.2764,0.1286,0.8046,P?
2026-06-18,26,Switzerland,Bosnia and Herzegovina,2-1,4-1,1,0.9721,0.6143,0.0221,0.2268,S
2026-06-19,27,Canada,Qatar,2-1,6-0,1,1.0633,0.7235,0.008,0.1185,S
2026-06-19,28,Mexico,South Korea,2-1,1-0,2,0.8751,0.5245,0.1631,0.3419,P?
2026-06-19,25,Czechia,South Africa,2-1,1-1,0,0.7895,0.276,0.1286,0.8046,P?
2026-06-19,26,Switzerland,Bosnia and Herzegovina,2-1,4-1,1,0.9721,0.614,0.0221,0.2268,S
2026-06-19,27,Canada,Qatar,2-1,6-0,1,1.0633,0.724,0.008,0.1185,S
2026-06-19,28,Mexico,South Korea,2-1,1-0,2,0.8751,0.524,0.1631,0.3419,P?
2026-06-19,32,United States,Australia,2-1,2-0,1,0.889,0.5381,0.1128,0.3219,S
2026-06-20,30,Scotland,Morocco,1-2,0-1,2,0.8409,0.4985,0.1476,0.3783,P?
2026-06-20,29,Brazil,Haiti,2-0,3-0,1,1.3678,0.8642,0.1779,0.0339,S
2026-06-20,31,Turkey,Paraguay,2-1,0-1,0,0.7505,0.2758,0.1102,0.7957,P?
2026-06-20,32,United States,Australia,2-1,2-0,1,0.889,0.538,0.1128,0.3219,S
2026-06-20,30,Scotland,Morocco,1-2,0-1,2,0.8409,0.498,0.1476,0.3783,P?
2026-06-20,29,Brazil,Haiti,2-0,3-0,1,1.3678,0.864,0.1779,0.0339,S
2026-06-20,31,Turkey,Paraguay,2-1,0-1,0,0.7505,0.276,0.1102,0.7957,P?
2026-06-20,35,Netherlands,Sweden,2-1,5-1,1,0.9588,0.6097,0.0103,0.23,S
2026-06-20,33,Germany,Ivory Coast,2-1,2-1,3,0.9828,0.6259,0.0925,0.2134,HIT
2026-06-21,34,Ecuador,Curaçao,2-1,0-0,0,1.0905,0.1577,0.0578,1.3068,L?
2026-06-21,36,Tunisia,Japan,1-2,0-4,1,0.8586,0.5106,0.0169,0.362,S
2026-06-21,36,Tunisia,Japan,1-2,0-4,1,0.8586,0.511,0.0169,0.362,S
2026-06-21,35,Netherlands,Sweden,2-1,5-1,1,0.9588,0.61,0.0103,0.23,S
2026-06-21,33,Germany,Ivory Coast,2-1,2-1,3,0.9828,0.626,0.0925,0.2134,HIT
2026-06-21,34,Ecuador,Curaçao,2-1,0-0,0,1.0905,0.158,0.0578,1.3068,L?
