home,away,odds_home,odds_draw,odds_away
Mexico,South Africa,1.4,4.6,8.0
South Korea,Czechia,2.62,3.1,2.75
Czechia,South Africa,2.04,3.38,3.6
Mexico,South Korea,1.85,3.54,4.75
Czechia,Mexico,4.3,3.55,1.91
South Africa,South Korea,3.55,3.44,2.41
Canada,Bosnia and Herzegovina,1.8,3.8,4.2
Qatar,Switzerland,9.5,5.5,1.3
Switzerland,Bosnia and Herzegovina,1.59,4.2,6.5
Canada,Qatar,1.4,5.5,11.0
Switzerland,Canada,1.8,4.3,3.0
Bosnia and Herzegovina,Qatar,1.73,3.6,4.75
Brazil,Morocco,1.57,4.0,5.25
Haiti,Scotland,6.25,4.5,1.44
Scotland,Morocco,3.9,3.3,1.8
Brazil,Haiti,1.29,9.0,121.0
Scotland,Brazil,7.0,4.5,1.32
Morocco,Haiti,1.33,5.5,23.0
United States,Paraguay,2.0,3.4,3.75
Australia,Turkey,4.5,3.5,1.8
Turkey,Paraguay,2.2,3.2,3.4
United States,Australia,1.77,3.6,4.75
Turkey,United States,2.5,3.3,2.5
Paraguay,Australia,2.1,3.1,3.7
